Neighborhood,District,Pop,Pop%,Rob2012,Rob2013,Rob2014,Rob2015,Rob2016,Rob2012perK,Rob2013perK,Rob2014perK,Rob2015perK,Rob2016perK,AgAs2012,AgAs2013,AgAs2014,AgAs2015,AgAs2016,AgAs2012perK,AgAs2013perK,AgAs2014perK,AgAs2015perK,AgAs2016perK,ResBurg2012,ResBurg2013,ResBurg2014,ResBurg2015,ResBurg2016,ResBurg2012perK,ResBurg2013perK,ResBurg2014perK,ResBurg2015perK,ResBurg2016perK,Theft2012perK,Theft2013perK,Theft2014perK,Theft2015perK,Theft2016perK,Theft2012perK,Theft2013perK,Theft2014perK,Theft2015perK,Theft2016perK,MVTheft2012,MVTheft2013,MVTheft2014,MVTheft2015,MVTheft2016,MVTheft2012perK,MVTheft2013perK,MVTheft2014perK,MVTheft2015perK,MVTheft2016perK,Van2012,Van2013,Van2014,Van2015,Van2016,Van2012perK,Van2013perK,Van2014perK,Van2015perK,Van2016perK,WepDis2012,WepDis2013,WepDis2014,WepDis2015,WepDis2016,WepDis2012perK,WepDis2013perK,WepDis2014perK,WepDis2015perK,WepDis2016perK,Narc2012,Narc2013,Narc2014,Narc2015,Narc2016,Narc2012perK,Narc2013perK,Narc2014perK,Narc2015perK,Narc2016perK,Rape2012,Rape2013,Rape2014,Rape2015,Rape2016,Rape2012perK,Rape2013perK,Rape2014perK,Rape2015perK,Rape2016perK
Battle Creek,1,"20,453",7.20%,26,33,43,57,42,1.3,1.6,2.1,2.8,2.1,59,61,70,64,46,2.9,3.0,3.4,3.1,2.2,129,107,159,101,87,6.3,5.2,7.8,4.9,4.3,414,421,374,380,357,20.2,20.6,18.3,18.6,17.5,153,114,144,122,103,7.5,5.6,7.0,6.0,5.0,263,185,204,178,178,12.9,9.0,10.0,8.7,8.7,33,36,27,39,50,1.6,1.8,1.3,1.9,2.4,136,138,161,178,131,6.6,6.7,7.9,8.7,6.4,8,18,10,17,9,0.4,0.9,0.5,0.8,0.4
Greater East Side,2,"27,206",9.50%,65,47,59,47,47,2.4,1.7,2.2,1.7,1.7,91,115,84,115,103,3.3,4.2,3.1,4.2,3.8,210,190,158,145,135,7.7,7.0,5.8,5.3,5.0,430,400,341,368,283,15.8,14.7,12.5,13.5,10.4,292,218,170,183,221,10.7,8.0,6.2,6.7,8.1,386,315,272,280,303,14.2,11.6,10.0,10.3,11.1,56,60,76,68,77,2.1,2.2,2.8,2.5,2.8,263,239,254,240,168,9.7,8.8,9.3,8.8,6.2,8,13,20,15,15,0.3,0.5,0.7,0.6,0.6
West Side,3,"14,959",5.20%,31,25,29,27,31,2.1,1.7,1.9,1.8,2.1,89,73,81,80,65,5.9,4.9,5.4,5.3,4.3,189,143,83,86,61,12.6,9.6,5.5,5.7,4.1,312,239,181,181,184,20.9,16.0,12.1,12.1,12.3,67,84,66,58,81,4.5,5.6,4.4,3.9,5.4,230,205,197,231,239,15.4,13.7,13.2,15.4,16.0,66,71,35,50,85,4.4,4.7,2.3,3.3,5.7,178,206,174,155,142,11.9,13.8,11.6,10.4,9.5,14,9,7,14,7,0.9,0.6,0.5,0.9,0.5
Dayton's Bluff,4,"16,434",5.80%,50,62,46,53,47,3.0,3.8,2.8,3.2,2.9,124,118,129,116,114,7.5,7.2,7.8,7.1,6.9,229,152,242,123,104,13.9,9.2,14.7,7.5,6.3,335,261,261,243,205,20.4,15.9,15.9,14.8,12.5,198,141,184,172,161,12.0,8.6,11.2,10.5,9.8,385,260,289,284,271,23.4,15.8,17.6,17.3,16.5,113,73,136,87,100,6.9,4.4,8.3,5.3,6.1,283,247,208,293,242,17.2,15.0,12.7,17.8,14.7,10,21,15,18,11,0.6,1.3,0.9,1.1,0.7
Payne-Phalen,5,"30,700",10.80%,97,114,74,89,68,3.2,3.7,2.4,2.9,2.2,184,182,165,263,183,6.0,5.9,5.4,8.6,6.0,420,357,308,227,261,13.7,11.6,10.0,7.4,8.5,674,624,529,480,489,22.0,20.3,17.2,15.6,15.9,311,367,354,301,317,10.1,12.0,11.5,9.8,10.3,534,491,411,442,515,17.4,16.0,13.4,14.4,16.8,108,113,124,124,176,3.5,3.7,4.0,4.0,5.7,437,521,399,547,388,14.2,17.0,13.0,17.8,12.6,30,45,37,29,33,1.0,1.5,1.2,0.9,1.1
North End,6,"25,447",8.90%,71,64,65,66,71,2.8,2.5,2.6,2.6,2.8,200,192,138,129,144,7.9,7.5,5.4,5.1,5.7,300,203,144,148,143,11.8,8.0,5.7,5.8,5.6,577,498,361,302,306,22.7,19.6,14.2,11.9,12.0,158,225,228,216,220,6.2,8.8,9.0,8.5,8.6,395,369,366,323,366,15.5,14.5,14.4,12.7,14.4,70,70,57,73,138,2.8,2.8,2.2,2.9,5.4,288,279,216,219,184,11.3,11.0,8.5,8.6,7.2,27,21,14,17,14,1.1,0.8,0.6,0.7,0.6
Thomas-Dale,7,"15,041",5.30%,91,78,76,62,69,6.1,5.2,5.1,4.1,4.6,136,152,133,115,97,9.0,10.1,8.8,7.6,6.4,174,155,147,118,109,11.6,10.3,9.8,7.8,7.2,263,229,233,210,221,17.5,15.2,15.5,14.0,14.7,104,100,172,153,174,6.9,6.6,11.4,10.2,11.6,290,256,285,294,244,19.3,17.0,18.9,19.5,16.2,73,77,48,129,121,4.9,5.1,3.2,8.6,8.0,195,198,179,220,174,13.0,13.2,11.9,14.6,11.6,12,15,11,15,8,0.8,1.0,0.7,1.0,0.5
Summit-University,8,"17,002",6.00%,59,76,57,86,69,3.5,4.5,3.4,5.1,4.1,103,105,85,87,85,6.1,6.2,5.0,5.1,5.0,164,162,98,96,113,9.6,9.5,5.8,5.6,6.6,451,369,392,342,272,26.5,21.7,23.1,20.1,16.0,98,118,156,118,105,5.8,6.9,9.2,6.9,6.2,262,239,208,197,220,15.4,14.1,12.2,11.6,12.9,80,83,55,107,101,4.7,4.9,3.2,6.3,5.9,318,235,330,224,216,18.7,13.8,19.4,13.2,12.7,12,13,10,18,22,0.7,0.8,0.6,1.1,1.3
West Seventh,9,"11,083",3.90%,20,13,19,24,16,1.8,1.2,1.7,2.2,1.4,56,43,39,28,47,5.1,3.9,3.5,2.5,4.2,91,72,36,51,61,8.2,6.5,3.2,4.6,5.5,304,277,239,220,252,27.4,25.0,21.6,19.9,22.7,42,43,43,43,49,3.8,3.9,3.9,3.9,4.4,165,175,125,191,140,14.9,15.8,11.3,17.2,12.6,21,27,20,25,32,1.9,2.4,1.8,2.3,2.9,92,101,104,104,97,8.3,9.1,9.4,9.4,8.8,10,8,8,5,14,0.9,0.7,0.7,0.5,1.3
Como,10,"11,913",4.20%,4,8,12,12,10,0.3,0.7,1.0,1.0,0.8,11,4,18,13,17,0.9,0.3,1.5,1.1,1.4,106,47,82,80,93,8.9,3.9,6.9,6.7,7.8,286,259,217,257,246,24.0,21.7,18.2,21.6,20.6,44,33,67,54,69,3.7,2.8,5.6,4.5,5.8,96,92,135,117,129,8.1,7.7,11.3,9.8,10.8,1,15,13,27,35,0.1,1.3,1.1,2.3,2.9,28,12,59,83,55,2.4,1.0,5.0,7.0,4.6,3,1,3,1,4,0.3,0.1,0.3,0.1,0.3
