Neighborhood,District,Pop,Robbery2012,Robbery2013,Robbery2014,Robbery2015,Robbery2016,AggravatedAssault2012,AggravatedAssault2013,AggravatedAssault2014,AggravatedAssault2015,AggravatedAssault2016,ResidentialBurglary2012,ResidentialBurglary2013,ResidentialBurglary2014,ResidentialBurglary2015,ResidentialBurglary2016,Theft2012,Theft2013,Theft2014,Theft2015,Theft2016,MotorVehicleTheft2012,MotorVehicleTheft2013,MotorVehicleTheft2014,MotorVehicleTheft2015,MotorVehicleTheft2016,Vandalism2012,Vandalism2013,Vandalism2014,Vandalism2015,Vandalism2016,WeaponsDischarge2012,WeaponsDischarge2013,WeaponsDischarge2014,WeaponsDischarge2015,WeaponsDischarge2016,Narcotics2012,Narcotics2013,Narcotics2014,Narcotics2015,Narcotics2016,Rape2012,Rape2013,Rape2014,Rape2015,Rape2016
Battle Creek,1,"20,453",1.3,1.6,2.1,2.8,2.1,2.9,3,3.4,3.1,2.2,6.3,5.2,7.8,4.9,4.3,20.2,20.6,18.3,18.6,17.5,7.5,5.6,7,6,5,12.9,9,10,8.7,8.7,1.6,1.8,1.3,1.9,2.4,6.6,6.7,7.9,8.7,6.4,0.4,0.9,0.5,0.8,0.4
Greater East Side,2,"27,206",2.4,1.7,2.2,1.7,1.7,3.3,4.2,3.1,4.2,3.8,7.7,7,5.8,5.3,5,15.8,14.7,12.5,13.5,10.4,10.7,8,6.2,6.7,8.1,14.2,11.6,10,10.3,11.1,2.1,2.2,2.8,2.5,2.8,9.7,8.8,9.3,8.8,6.2,0.3,0.5,0.7,0.6,0.6
West Side,3,"14,959",2.1,1.7,1.9,1.8,2.1,5.9,4.9,5.4,5.3,4.3,12.6,9.6,5.5,5.7,4.1,20.9,16,12.1,12.1,12.3,4.5,5.6,4.4,3.9,5.4,15.4,13.7,13.2,15.4,16,4.4,4.7,2.3,3.3,5.7,11.9,13.8,11.6,10.4,9.5,0.9,0.6,0.5,0.9,0.5
Dayton's Bluff,4,"16,434",3,3.8,2.8,3.2,2.9,7.5,7.2,7.8,7.1,6.9,13.9,9.2,14.7,7.5,6.3,20.4,15.9,15.9,14.8,12.5,12,8.6,11.2,10.5,9.8,23.4,15.8,17.6,17.3,16.5,6.9,4.4,8.3,5.3,6.1,17.2,15,12.7,17.8,14.7,0.6,1.3,0.9,1.1,0.7
Payne-Phalen,5,"30,700",3.2,3.7,2.4,2.9,2.2,6,5.9,5.4,8.6,6,13.7,11.6,10,7.4,8.5,22,20.3,17.2,15.6,15.9,10.1,12,11.5,9.8,10.3,17.4,16,13.4,14.4,16.8,3.5,3.7,4,4,5.7,14.2,17,13,17.8,12.6,1,1.5,1.2,0.9,1.1
North End,6,"25,447",2.8,2.5,2.6,2.6,2.8,7.9,7.5,5.4,5.1,5.7,11.8,8,5.7,5.8,5.6,22.7,19.6,14.2,11.9,12,6.2,8.8,9,8.5,8.6,15.5,14.5,14.4,12.7,14.4,2.8,2.8,2.2,2.9,5.4,11.3,11,8.5,8.6,7.2,1.1,0.8,0.6,0.7,0.6
Thomas-Dale,7,"15,041",6.1,5.2,5.1,4.1,4.6,9,10.1,8.8,7.6,6.4,11.6,10.3,9.8,7.8,7.2,17.5,15.2,15.5,14,14.7,6.9,6.6,11.4,10.2,11.6,19.3,17,18.9,19.5,16.2,4.9,5.1,3.2,8.6,8,13,13.2,11.9,14.6,11.6,0.8,1,0.7,1,0.5
Summit-University,8,"17,002",3.5,4.5,3.4,5.1,4.1,6.1,6.2,5,5.1,5,9.6,9.5,5.8,5.6,6.6,26.5,21.7,23.1,20.1,16,5.8,6.9,9.2,6.9,6.2,15.4,14.1,12.2,11.6,12.9,4.7,4.9,3.2,6.3,5.9,18.7,13.8,19.4,13.2,12.7,0.7,0.8,0.6,1.1,1.3
West Seventh,9,"11,083",1.8,1.2,1.7,2.2,1.4,5.1,3.9,3.5,2.5,4.2,8.2,6.5,3.2,4.6,5.5,27.4,25,21.6,19.9,22.7,3.8,3.9,3.9,3.9,4.4,14.9,15.8,11.3,17.2,12.6,1.9,2.4,1.8,2.3,2.9,8.3,9.1,9.4,9.4,8.8,0.9,0.7,0.7,0.5,1.3
Como,10,"11,913",0.3,0.7,1,1,0.8,0.9,0.3,1.5,1.1,1.4,8.9,3.9,6.9,6.7,7.8,24,21.7,18.2,21.6,20.6,3.7,2.8,5.6,4.5,5.8,8.1,7.7,11.3,9.8,10.8,0.1,1.3,1.1,2.3,2.9,2.4,1,5,7,4.6,0.3,0.1,0.3,0.1,0.3
